,month,day,number,amount
85,5,1,150801,1.6
86,5,1,150802,1.3
87,5,1,150805,1.3
88,5,1,150806,1.3
89,5,1,150899,1.3
90,5,1,150902,1.3
91,5,1,150904,1.3
92,5,1,150999,1.1
93,5,1,151002,1.1
94,5,1,151003,1.1
95,5,1,151004,1.1
96,5,1,151005,1.1
97,5,1,151099,1.3
98,5,1,151103,1.1
99,5,1,151199,1.0
100,5,1,151201,1.0
101,5,1,151206,1.0
102,5,1,151299,1.7
103,5,1,151301,1.0
104,5,1,151302,1.0
105,5,1,151304,1.0
106,5,1,151305,1.0
107,5,1,151399,1.0
108,5,1,151499,1.1
109,5,1,151501,1.1
110,5,1,151503,1.7
111,5,1,151602,1.7
112,5,1,151603,1.7
113,5,1,151604,1.7
114,5,1,151605,1.7
115,5,1,151701,4.4
116,5,1,151703,1.2
117,5,1,151704,1.5
118,5,1,151799,1.5
119,5,1,151801,1.0
120,5,1,151802,1.0
121,5,1,151803,1.4
122,5,1,151804,2.3
123,5,1,151805,2.2
124,5,1,151806,1.9
125,5,1,151807,2.2
126,5,1,151809,2.3
127,5,1,151810,2.5
128,5,1,151811,2.5
129,5,1,151813,1.5
130,5,1,151899,1.6
131,5,1,151901,1.6
132,5,1,151902,1.6
133,5,1,151903,1.3
134,5,1,151904,1.1
135,5,1,151905,1.1
136,5,1,152101,11.2
137,5,1,152103,1.2
138,5,1,152104,1.5
139,5,1,200101,1.5
140,5,1,200102,1.1
141,5,1,200103,1.1
142,5,1,200104,1.0
143,5,1,200105,2.0
144,5,1,200199,1.0
145,5,1,200201,1.0
146,5,1,200202,1.0
147,5,1,200203,1.0
148,5,1,200204,1.0
149,5,1,200299,1.2
150,5,1,200301,2.2
151,5,1,200302,1.7
152,5,1,200303,1.6
153,5,1,200304,1.6
154,5,1,200399,1.5
155,5,1,200401,1.5
156,5,1,200402,1.9
157,5,1,200499,3.7
158,5,1,200501,6.1
159,5,1,200502,2.8
160,5,1,200503,2.9
161,5,1,200505,1.7
162,5,1,200506,1.6
163,5,1,200508,1.6
164,5,1,200599,2.1
165,5,1,200601,1.8
166,5,1,200602,1.0
167,5,1,200603,1.0
168,5,1,200604,1.0
169,5,1,200605,1.0
170,5,1,200606,1.5
171,5,1,200607,2.0
172,5,1,200608,1.0
173,5,1,200609,1.0
174,5,1,200699,1.1
175,5,1,200701,1.1
176,5,1,200702,1.1
177,5,1,200703,1.1
178,5,1,200704,1.1
179,5,1,200705,1.1
180,5,1,200706,1.8
181,5,1,200707,1.8
182,5,1,200708,1.1
183,5,1,200709,1.2
184,5,1,200710,1.2
185,5,1,200711,1.1
186,5,1,200799,1.6
187,5,1,200801,1.8
188,5,1,200802,1.2
189,5,1,200803,1.2
190,5,1,200804,1.2
191,5,1,200805,2.3
192,5,1,200806,1.5
193,5,1,200807,2.0
194,5,1,200808,1.3
195,5,1,200809,1.3
196,5,1,200811,1.3
197,5,1,200899,1.4
198,5,1,200901,1.4
199,5,1,200902,2.9
200,5,1,200903,1.7
201,5,1,200904,1.0
202,5,1,200905,1.0
203,5,1,200906,1.0
204,5,1,200907,1.1
205,5,1,200999,1.5
206,5,1,201001,1.5
207,5,1,201002,1.8
208,5,1,201003,1.8
209,5,1,201004,1.6
210,5,1,201005,1.6
211,5,1,201006,1.6
212,5,1,201007,1.6
213,5,1,201008,1.6
214,5,1,201101,3.7
215,5,1,201102,2.4
216,5,1,201103,1.6
217,5,1,201104,2.3
218,5,1,201105,1.1
219,5,1,201106,1.1
220,5,1,201107,1.0
221,5,1,201108,1.0
222,5,1,201109,1.0
223,5,1,201110,1.0
224,5,1,201111,2.8
225,5,1,201112,1.2
226,5,1,201199,1.1
227,5,1,201201,1.1
228,5,1,201202,1.1
229,5,1,201203,1.1
230,5,1,201299,1.1
231,5,1,201301,1.1
232,5,1,201302,1.2
233,5,1,201303,1.0
234,5,1,201304,1.0
235,5,1,201305,1.0
236,5,1,201306,1.4
237,5,1,201307,1.4
238,5,1,201399,1.4
239,5,1,201401,3.1
240,5,1,201402,2.0
241,5,1,201403,2.0
242,5,1,201404,1.5
243,5,1,201405,2.5
244,5,1,201499,1.3
245,5,1,201501,1.6
246,5,1,201502,1.4
247,5,1,201503,1.0
248,5,1,201504,1.0
249,5,1,201505,1.0
250,5,1,210103,1.0
251,5,1,210104,1.0
252,5,1,210105,1.0
253,5,1,210106,1.0
254,5,1,210107,1.0
255,5,1,210108,1.0
256,5,1,210109,1.1
257,5,1,210110,1.1
258,5,1,210111,1.1
259,5,1,210199,1.2
260,5,1,210202,1.3
261,5,1,210301,1.1
262,5,1,210302,1.1
263,5,1,210303,1.1
264,5,1,210401,1.0
265,5,1,210402,1.0
266,5,1,210499,1.0
267,5,1,210501,1.0
268,5,1,210502,1.0
269,5,1,210503,1.0
270,5,1,210504,1.0
271,5,1,210505,1.0
272,5,1,210506,1.0
273,5,1,210507,1.0
274,5,1,210599,1.0
275,5,1,210601,1.0
276,5,1,210603,1.0
277,5,1,210699,1.1
278,5,1,210701,1.1
279,5,1,210704,1.1
280,5,1,210705,1.1
281,5,1,210801,1.1
282,5,1,220101,1.1
283,5,1,220102,2.0
284,5,1,220103,1.5
285,5,1,220104,1.0
286,5,1,220105,1.0
287,5,1,220106,1.3
288,5,1,220107,1.9
289,5,1,220108,1.0
290,5,1,220109,1.3
291,5,1,220110,1.8
292,5,1,220111,3.2
293,5,1,220112,3.7
294,5,1,220113,1.7
295,5,1,220114,1.7
296,5,1,220115,1.5
297,5,1,220199,1.6
298,5,1,220201,1.8
299,5,1,220202,1.7
300,5,1,220203,1.8
301,5,1,220204,1.9
302,5,1,220205,3.8
303,5,1,220206,2.4
304,5,1,220207,2.6
305,5,1,220208,5.5
306,5,1,220298,1.0
307,5,1,220299,1.4
308,5,1,220301,1.6
309,5,1,220302,6.1
310,5,1,220303,1.2
311,5,1,220304,1.2
312,5,1,220305,1.0
313,5,1,220306,2.2
314,5,1,220307,1.7
315,5,1,220308,1.7
316,5,1,220399,2.0
317,5,1,220401,1.3
318,5,1,220402,1.3
319,5,1,220403,1.3
320,5,1,220405,2.8
321,5,1,220406,2.3
322,5,1,220408,2.1
323,5,1,220409,2.1
324,5,1,220499,7.2
325,5,1,220501,2.7
326,5,1,220502,2.0
327,5,1,220503,1.3
328,5,1,220504,1.7
329,5,1,220505,1.3
330,5,1,220506,1.1
331,5,1,220507,1.1
332,5,1,220508,1.1
333,5,1,220510,1.0
334,5,1,220511,1.0
335,5,1,220512,3.1
336,5,1,220513,3.9
337,5,1,220514,1.2
338,5,1,220515,1.2
339,5,1,220599,1.2
340,5,1,220601,1.6
341,5,1,220602,1.8
342,5,1,220603,1.4
343,5,1,220604,1.1
344,5,1,220605,1.3
345,5,1,220606,1.2
346,5,1,220607,2.8
347,5,1,220608,1.4
348,5,1,220699,1.1
349,5,1,220701,1.0
350,5,1,220702,1.0
351,5,1,220703,1.1
352,5,1,220704,1.1
353,5,1,220705,1.0
354,5,1,220706,1.0
355,5,1,220707,1.2
356,5,1,220708,1.0
357,5,1,220709,1.0
358,5,1,220710,1.3
359,5,1,220711,1.2
360,5,1,220713,1.2
361,5,1,220799,1.2
362,5,1,220801,1.0
363,5,1,220802,1.0
364,5,1,220899,1.0
365,5,1,220901,1.0
366,5,1,220902,1.2
367,5,1,220904,1.6
368,5,1,220905,1.1
369,5,1,220906,1.2
370,5,1,220907,1.1
371,5,1,220999,1.2
372,5,1,221001,1.3
373,5,1,221002,1.2
374,5,1,221003,1.6
375,5,1,221004,1.4
376,5,1,221005,1.3
377,5,1,221006,1.2
378,5,1,221099,1.2
379,5,1,221101,1.2
380,5,1,221201,1.2
381,5,1,221202,1.1
382,5,1,230101,1.5
383,5,1,230102,1.8
384,5,1,230103,1.9
385,5,1,230199,1.7
386,5,1,230201,1.7
387,5,1,230202,1.5
388,5,1,230203,1.4
389,5,1,230204,1.4
390,5,1,230299,1.4
391,5,1,230301,1.4
392,5,1,230302,1.4
393,5,1,230304,1.2
394,5,1,230305,1.0
395,5,1,230306,1.0
396,5,1,230307,1.0
397,5,1,230309,1.0
398,5,1,230310,1.0
399,5,1,230311,1.0
400,5,1,230399,1.0
401,5,1,230401,1.0
402,5,1,230402,1.0
403,5,1,230403,1.0
404,5,1,230404,1.0
405,5,1,230406,1.0
406,5,1,230499,1.0
407,5,1,230501,1.0
408,5,1,230502,1.0
409,5,1,230599,1.0
410,5,1,230601,1.1
411,5,1,230602,1.1
412,5,1,230603,1.1
413,5,1,230604,1.1
414,5,1,230699,1.0
415,5,1,230701,1.0
416,5,1,230702,1.0
417,5,1,230703,1.3
418,5,1,230704,1.1
419,5,1,230705,1.0
420,5,1,230799,1.0
421,5,1,230801,1.0
422,5,1,230901,1.4
423,5,1,230903,1.4
424,5,1,230905,1.2
425,5,1,230907,1.2
426,5,1,231001,1.2
427,5,1,231003,1.2
428,5,1,231004,1.2
429,5,1,231006,1.2
430,5,1,231007,1.2
431,5,1,231099,1.8
432,5,1,231101,2.3
433,5,1,231102,2.4
434,5,1,231103,1.0
435,5,1,231104,1.2
436,5,1,231201,1.0
437,5,1,231299,1.0
438,5,1,231301,1.0
439,5,1,231302,1.0
440,5,1,231401,2.6
441,5,1,231403,3.9
442,5,1,231404,4.7
443,5,1,231406,4.0
444,5,1,231499,3.6
445,5,1,231501,3.6
446,5,1,231601,1.2
447,5,1,231602,2.0
448,5,1,231603,1.6
449,5,1,231606,1.4
450,5,1,231701,1.4
451,5,1,231702,1.4
452,5,1,231703,2.4
453,5,1,231705,1.6
454,5,1,300101,1.4
455,5,1,300102,1.4
456,5,1,300201,1.7
457,5,1,300202,1.7
458,5,1,300203,1.4
459,5,1,300204,1.2
460,5,1,300206,1.0
461,5,1,300301,1.0
462,5,1,300302,1.0
463,5,1,300305,1.0
464,5,1,300306,1.0
465,5,1,300401,1.0
466,5,1,300402,1.0
467,5,1,300403,1.0
468,5,1,300499,1.0
469,5,1,300501,1.0
470,5,1,300503,1.0
471,5,1,300504,1.0
472,5,1,300601,1.1
473,5,1,300602,2.1
474,5,1,300604,2.0
475,5,1,300605,1.5
476,5,1,300606,1.4
477,5,1,300607,1.4
478,5,1,300699,1.8
479,5,1,300701,1.8
480,5,1,300702,1.8
481,5,1,300703,1.5
482,5,1,300704,1.5
483,5,1,300801,1.5
484,5,1,300802,1.4
485,5,1,300803,1.4
486,5,1,300804,1.2
487,5,1,300901,1.0
488,5,1,300902,1.0
489,5,1,300903,1.0
490,5,1,301001,1.0
491,5,1,301002,1.4
492,5,1,301003,1.4
493,5,1,301004,1.4
494,5,1,301005,1.2
495,5,1,301006,1.0
496,5,1,301007,1.0
497,5,1,301009,1.0
498,5,1,301012,1.0
499,5,1,301099,1.0
500,5,1,301101,1.0
501,5,1,301102,1.1
502,5,1,301104,1.1
503,5,1,301106,1.1
504,5,1,301108,1.1
505,5,1,301205,1.1
506,5,1,301206,1.1
507,5,1,301301,4.6
508,5,1,301302,1.0
509,5,1,301303,1.2
510,5,1,301304,1.6
511,5,1,301306,1.7
512,5,1,301405,1.5
513,5,1,301406,1.5
514,5,1,301499,1.4
515,5,1,301501,1.0
516,5,1,301601,1.0
517,5,1,301602,1.0
518,5,1,301603,5.2
519,5,1,301604,1.0
520,5,1,301605,1.0
521,5,1,301606,1.0
522,5,1,301607,1.0
523,5,1,301608,2.2
524,5,1,301609,2.0
525,5,1,301701,1.9
526,5,1,301702,1.9
527,5,1,301703,1.9
528,5,1,301799,3.3
529,5,1,301801,4.8
530,5,1,301802,2.2
531,5,1,301803,2.3
532,5,1,301804,3.0
533,5,1,301805,2.2
534,5,1,301806,2.2
535,5,1,301899,2.2
536,5,1,310102,2.4
537,5,1,310201,2.4
538,5,1,310202,2.4
539,5,1,310204,2.4
540,5,1,310499,2.4
541,5,1,310501,2.4
542,5,1,310502,2.4
543,5,1,310505,2.2
544,5,1,310601,2.2
545,5,1,310603,2.2
546,5,1,310604,2.2
547,5,1,310701,2.2
548,5,1,310704,2.3
549,5,1,310705,2.3
550,5,1,310801,2.3
551,5,1,310899,2.3
552,5,1,310901,2.4
553,5,1,310903,2.2
554,5,1,310908,2.2
555,5,1,310911,2.2
556,5,1,311001,2.0
557,5,1,311002,2.0
558,5,1,311003,2.0
559,5,1,311004,2.0
560,5,1,311005,2.1
561,5,1,311007,2.5
562,5,1,311008,2.0
563,5,1,311009,2.0
564,5,1,311012,2.0
565,5,1,311014,2.0
566,5,1,311016,2.0
567,5,1,311017,2.0
568,5,1,311019,2.0
569,5,1,311099,2.0
570,5,1,311103,2.0
571,5,1,311104,2.0
572,5,1,311105,2.0
573,5,1,311106,2.0
574,5,1,311108,1.8
575,5,1,311203,1.8
576,5,1,311204,1.1
577,5,1,311207,1.1
578,5,1,311301,1.1
579,5,1,311302,1.1
580,5,1,311303,1.1
581,5,1,311304,1.1
582,5,1,311401,1.4
583,5,1,311402,1.7
584,5,1,311403,1.7
585,5,1,311405,1.2
586,5,1,311406,1.2
587,5,1,311407,1.2
588,5,1,311410,1.2
589,5,1,311412,1.2
590,5,1,311499,1.2
591,5,1,311503,1.2
592,5,1,311599,1.2
593,5,1,311601,1.2
594,5,1,311602,1.5
595,5,1,311603,1.5
596,5,1,311604,1.4
597,5,1,311701,1.2
598,5,1,311702,1.6
599,5,1,311703,1.6
600,5,1,311704,1.6
601,5,1,311706,1.5
602,5,1,311801,1.3
603,5,1,311802,1.1
604,5,1,311803,1.1
605,5,1,311804,1.1
606,5,1,311805,1.1
607,5,1,311806,1.1
608,5,1,311808,1.1
609,5,1,311809,1.1
610,5,1,311810,1.1
611,5,1,311811,1.1
612,5,1,311812,1.1
613,5,1,311813,1.2
614,5,1,311816,1.1
615,5,1,311819,1.1
616,5,1,311821,1.1
617,5,1,311822,1.1
618,5,1,311899,1.1
619,5,1,311901,1.1
620,5,1,311902,1.1
621,5,1,311903,1.1
622,5,1,311904,1.1
623,5,1,311907,1.1
624,5,1,311908,1.1
625,5,1,311911,1.1
626,5,1,311913,1.3
627,5,1,312001,1.2
628,5,1,312002,1.2
629,5,1,312006,1.2
630,5,1,312010,1.2
631,5,1,312102,1.1
632,5,1,312199,1.1
633,5,1,312205,1.1
634,5,1,312502,1.1
635,5,1,312505,1.1
636,5,1,312601,1.4
637,5,1,312603,1.1
638,5,1,312804,1.1
639,5,1,321203,1.1
640,5,1,321399,1.1
641,5,1,321502,1.1
642,5,1,321601,1.1
643,5,1,321603,1.1
644,5,1,321702,1.1
645,5,1,321707,1.1
646,5,1,321709,1.1
647,5,1,321710,1.1
648,5,1,321711,1.1
649,5,1,321803,1.1
650,5,1,322701,1.0
651,5,1,330101,1.0
652,5,1,330102,1.0
653,5,1,330104,1.0
654,5,1,330105,1.0
655,5,1,330301,1.0
656,5,1,331301,1.0
657,5,1,331302,1.0
658,5,1,331401,1.0
659,5,1,331403,1.0
660,5,1,331504,1.0
661,5,1,331599,1.0
662,5,1,331601,1.1
663,5,1,331602,1.0
664,5,1,331699,1.0
665,5,1,331901,1.2
666,5,1,331902,1.4
667,5,1,331903,1.4
668,5,1,331904,1.4
669,5,1,331905,1.2
670,5,1,331906,1.0
671,5,1,331907,1.0
672,5,1,331908,1.0
673,5,1,331909,1.0
674,5,1,331910,1.0
675,5,1,331999,1.0
676,5,1,332002,1.0
677,5,1,332003,1.0
678,5,1,332005,1.1
679,5,1,332006,1.1
680,5,1,332007,1.1
681,5,1,332099,1.0
682,5,1,332101,1.0
683,5,1,332102,1.0
684,5,1,332103,1.0
685,5,1,332104,1.0
686,5,1,332105,1.0
687,5,1,332106,1.2
688,5,1,332109,1.2
689,5,1,332110,1.2
690,5,1,332112,1.2
691,5,1,332199,1.4
692,5,1,332201,1.4
693,5,1,332202,1.4
694,5,1,332203,1.4
695,5,1,332204,1.4
696,5,1,332205,1.4
697,5,1,332206,1.4
698,5,1,332301,1.8
699,5,1,332302,1.8
700,5,1,332303,1.8
701,5,1,332307,1.8
702,5,1,332399,1.8
703,5,1,332501,1.8
704,5,1,332504,1.8
705,5,1,332603,1.8
706,5,1,332608,1.8
707,5,1,332699,1.6
708,5,1,332803,1.6
709,5,1,333002,1.6
710,5,1,340101,1.4
711,5,1,340105,1.4
712,5,1,340201,1.4
713,5,1,340202,1.4
714,5,1,340205,1.4
715,5,1,340207,1.4
716,5,1,340301,1.4
717,5,1,340303,1.4
718,5,1,340305,1.4
719,5,1,340306,1.4
720,5,1,340403,1.4
721,5,1,340601,1.3
722,5,1,340701,1.4
723,5,1,340702,1.3
724,5,1,340703,1.2
725,5,1,340704,1.2
726,5,1,340799,1.2
727,5,1,340802,1.2
728,5,1,340803,1.0
729,5,1,340899,1.0
730,5,1,340901,1.0
731,5,1,340902,1.0
732,5,1,340903,1.0
733,5,1,340906,1.0
734,5,1,341002,1.0
735,5,1,341004,1.0
736,5,1,341204,1.0
737,5,1,341206,1.0
738,5,1,341501,1.0
739,5,1,341502,1.0
740,5,1,341504,1.0
741,5,1,341505,1.0
742,5,1,341506,1.0
743,5,1,341599,1.0
744,5,1,341601,1.0
745,5,1,341701,1.0
746,5,1,341799,1.0
747,5,1,341902,1.0
748,5,1,342302,1.2
749,5,1,342306,1.2
750,5,1,342307,1.2
751,5,1,342310,1.3
752,5,1,342401,1.2
753,5,1,342601,1.1
754,5,1,342603,1.1
755,5,1,342604,1.1
756,5,1,342605,1.1
757,5,1,342606,1.1
758,5,1,342701,1.2
759,5,1,342804,1.2
760,5,1,342805,1.2
761,5,1,342904,1.1
762,5,1,342905,1.1
763,5,1,343101,1.1
764,5,1,343102,1.1
765,5,1,343104,1.1
766,5,1,343105,1.1
767,5,1,343106,1.1
768,5,1,343107,1.1
769,5,1,343201,1.1
770,5,1,343699,1.1
771,5,2,100101,6.0
772,5,2,100102,1.6
773,5,2,100103,2.4
774,5,2,100104,2.2
775,5,2,100105,1.7
776,5,2,100202,1.2
777,5,2,100203,1.2
778,5,2,100401,1.0
779,5,2,100402,1.3
780,5,2,100404,1.0
781,5,2,100502,1.0
782,5,2,100503,1.0
783,5,2,100504,1.0
784,5,2,100601,1.0
785,5,2,100604,1.0
786,5,2,100703,1.0
787,5,2,100705,1.0
788,5,2,109903,1.1
789,5,2,110104,1.1
790,5,2,110106,1.1
791,5,2,110107,1.4
792,5,2,110201,1.5
793,5,2,110203,1.3
794,5,2,110204,1.2
795,5,2,110301,1.8
796,5,2,110302,1.7
797,5,2,110304,1.7
798,5,2,110402,1.7
799,5,2,120101,19.5
800,5,2,120102,24.7
801,5,2,120103,2.2
802,5,2,120104,21.7
803,5,2,120105,6.6
804,5,2,120106,4.2
805,5,2,120107,3.2
806,5,2,120109,3.1
807,5,2,120201,3.2
808,5,2,120204,3.0
809,5,2,120205,3.2
810,5,2,120301,2.2
811,5,2,120302,3.1
812,5,2,120303,2.4
813,5,2,120304,2.3
814,5,2,120305,2.2
815,5,2,120306,3.2
816,5,2,120307,6.2
817,5,2,120309,3.9
818,5,2,120310,3.3
819,5,2,120313,10.9
820,5,2,120314,4.0
821,5,2,120501,3.3
822,5,2,120502,3.3
823,5,2,130101,4.5
824,5,2,130102,1.1
825,5,2,130201,1.9
826,5,2,130603,2.5
827,5,2,130801,3.8
828,5,2,130803,1.6
829,5,2,130805,1.7
830,5,2,140206,1.7
831,5,2,140301,1.7
832,5,2,150101,1.6
833,5,2,150102,1.1
834,5,2,150103,1.3
835,5,2,150104,1.3
836,5,2,150105,1.5
837,5,2,150199,1.0
838,5,2,150202,1.1
839,5,2,150203,1.1
840,5,2,150301,1.0
841,5,2,150302,1.0
842,5,2,150303,1.0
843,5,2,150304,1.0
844,5,2,150305,1.2
845,5,2,150404,1.2
846,5,2,150501,2.1
847,5,2,150502,1.4
848,5,2,150503,1.6
849,5,2,150504,2.9
850,5,2,150505,1.4
851,5,2,150506,1.0
852,5,2,150507,1.0
853,5,2,150508,1.1
854,5,2,150509,1.1
855,5,2,150599,1.1
856,5,2,150801,1.1
857,5,2,150802,1.2
858,5,2,150805,1.2
859,5,2,150806,1.2
860,5,2,150899,1.2
861,5,2,150902,1.2
862,5,2,150904,1.2
863,5,2,150999,1.2
864,5,2,151002,1.2
865,5,2,151003,1.2
866,5,2,151004,1.2
867,5,2,151005,1.2
868,5,2,151099,1.8
869,5,2,151103,1.5
870,5,2,151199,1.2
871,5,2,151201,1.1
872,5,2,151206,1.1
873,5,2,151299,1.7
874,5,2,151301,1.0
875,5,2,151302,1.0
876,5,2,151304,1.0
877,5,2,151305,1.0
878,5,2,151399,1.0
879,5,2,151499,1.0
880,5,2,151501,1.0
881,5,2,151503,1.6
882,5,2,151602,1.6
883,5,2,151603,1.6
884,5,2,151604,1.6
885,5,2,151605,1.6
886,5,2,151701,2.9
887,5,2,151703,1.5
888,5,2,151704,1.8
889,5,2,151799,1.5
890,5,2,151801,1.0
891,5,2,151802,1.0
892,5,2,151803,1.4
893,5,2,151804,2.3
894,5,2,151805,2.1
895,5,2,151806,1.4
896,5,2,151807,1.5
897,5,2,151809,1.5
898,5,2,151810,2.0
899,5,2,151811,2.0
900,5,2,151813,1.4
901,5,2,151899,1.1
902,5,2,151901,1.3
903,5,2,151902,1.4
904,5,2,151903,1.1
905,5,2,151904,1.1
906,5,2,151905,1.1
907,5,2,152101,8.2
908,5,2,152103,1.6
909,5,2,152104,2.4
910,5,2,200101,2.3
911,5,2,200102,1.2
912,5,2,200103,1.1
913,5,2,200104,1.0
914,5,2,200105,2.0
915,5,2,200199,1.0
916,5,2,200201,1.0
917,5,2,200202,1.0
918,5,2,200203,1.0
919,5,2,200204,1.0
920,5,2,200299,1.0
921,5,2,200301,1.3
922,5,2,200302,1.7
923,5,2,200303,1.6
924,5,2,200304,1.5
925,5,2,200399,1.4
926,5,2,200401,1.4
927,5,2,200402,1.4
928,5,2,200499,2.6
929,5,2,200501,3.2
930,5,2,200502,1.5
931,5,2,200503,1.8
932,5,2,200505,2.0
933,5,2,200506,1.7
934,5,2,200508,1.7
935,5,2,200599,1.4
936,5,2,200601,1.8
937,5,2,200602,1.1
938,5,2,200603,1.1
939,5,2,200604,1.1
940,5,2,200605,1.1
941,5,2,200606,1.2
942,5,2,200607,1.2
943,5,2,200608,1.1
944,5,2,200609,1.0
945,5,2,200699,1.1
946,5,2,200701,1.1
947,5,2,200702,1.1
948,5,2,200703,1.1
949,5,2,200704,1.1
950,5,2,200705,1.1
951,5,2,200706,1.7
952,5,2,200707,1.7
953,5,2,200708,1.0
954,5,2,200709,1.0
955,5,2,200710,1.0
956,5,2,200711,1.0
957,5,2,200799,1.6
958,5,2,200801,1.8
959,5,2,200802,1.2
960,5,2,200803,1.2
961,5,2,200804,1.2
962,5,2,200805,1.7
963,5,2,200806,1.3
964,5,2,200807,1.9
965,5,2,200808,1.1
966,5,2,200809,1.1
967,5,2,200811,1.1
968,5,2,200899,1.2
969,5,2,200901,1.2
970,5,2,200902,2.1
971,5,2,200903,1.3
972,5,2,200904,1.1
973,5,2,200905,1.1
974,5,2,200906,1.1
975,5,2,200907,1.3
976,5,2,200999,1.3
977,5,2,201001,1.3
978,5,2,201002,1.5
979,5,2,201003,1.5
980,5,2,201004,1.2
981,5,2,201005,1.2
982,5,2,201006,1.2
983,5,2,201007,1.2
984,5,2,201008,1.2
985,5,2,201101,1.9
986,5,2,201102,1.4
987,5,2,201103,3.0
988,5,2,201104,2.2
989,5,2,201105,1.1
990,5,2,201106,1.1
991,5,2,201107,1.0
992,5,2,201108,1.2
993,5,2,201109,1.2
994,5,2,201110,1.2
995,5,2,201111,2.6
996,5,2,201112,1.2
997,5,2,201199,1.1
998,5,2,201201,1.1
999,5,2,201202,1.1
1000,5,2,201203,1.1
1001,5,2,201299,1.0
1002,5,2,201301,1.0
1003,5,2,201302,1.2
1004,5,2,201303,1.0
1005,5,2,201304,1.0
1006,5,2,201305,1.0
1007,5,2,201306,1.4
1008,5,2,201307,1.4
1009,5,2,201399,1.4
1010,5,2,201401,1.8
1011,5,2,201402,2.9
1012,5,2,201403,2.9
1013,5,2,201404,2.7
1014,5,2,201405,2.6
1015,5,2,201499,1.6
1016,5,2,201501,2.0
1017,5,2,201502,1.4
1018,5,2,201503,1.0
1019,5,2,201504,1.0
1020,5,2,201505,1.0
1021,5,2,210103,1.0
1022,5,2,210104,1.0
1023,5,2,210105,1.0
1024,5,2,210106,1.0
1025,5,2,210107,1.0
1026,5,2,210108,1.0
1027,5,2,210109,1.1
1028,5,2,210110,1.1
1029,5,2,210111,1.1
1030,5,2,210199,1.2
1031,5,2,210202,1.3
1032,5,2,210301,1.1
1033,5,2,210302,1.1
1034,5,2,210303,1.1
1035,5,2,210401,1.0
1036,5,2,210402,1.0
1037,5,2,210499,1.0
1038,5,2,210501,1.0
1039,5,2,210502,1.0
1040,5,2,210503,1.0
1041,5,2,210504,1.0
1042,5,2,210505,1.0
1043,5,2,210506,1.0
1044,5,2,210507,1.0
1045,5,2,210599,1.0
1046,5,2,210601,1.0
1047,5,2,210603,1.0
1048,5,2,210699,1.1
1049,5,2,210701,1.1
1050,5,2,210704,1.1
1051,5,2,210705,1.1
1052,5,2,210801,1.1
1053,5,2,220101,1.1
1054,5,2,220102,2.0
1055,5,2,220103,1.5
1056,5,2,220104,1.0
1057,5,2,220105,1.0
1058,5,2,220106,1.2
1059,5,2,220107,1.4
1060,5,2,220108,1.1
1061,5,2,220109,1.4
1062,5,2,220110,1.5
1063,5,2,220111,3.2
1064,5,2,220112,4.1
1065,5,2,220113,2.3
1066,5,2,220114,2.3
1067,5,2,220115,2.3
1068,5,2,220199,2.4
1069,5,2,220201,1.5
