month,day,number,amount
1,5,301608,2
1,5,220106,2
1,5,201001,1
1,5,120109,3
1,5,150199,1
1,5,220904,1
1,5,200501,3
1,5,311604,3
1,5,200709,2
1,5,301701,1
1,5,300602,2
1,5,100504,2
1,5,152101,4
1,5,300801,1
1,5,120303,3
1,5,200601,4
1,5,120313,7
1,5,151802,2
1,5,120309,6
1,5,220606,1
1,5,301301,2
1,5,150302,1
1,5,301603,7
1,5,221202,1
1,5,220401,2
1,5,340899,1
1,5,220101,3
1,5,201401,2
1,5,120106,5
1,5,150801,3
1,5,300701,1
1,5,220502,1
1,5,200704,2
1,5,120302,3
1,5,210402,3
1,5,201003,1
1,5,220513,2
1,5,200809,4
1,5,150504,3
1,5,230704,1
1,5,200204,1
1,5,200607,2
1,5,220201,2
1,5,201107,1
1,5,151299,1
1,5,201111,3
1,5,151801,2
1,5,220299,3
1,5,100104,2
1,5,200603,1
1,5,150502,1
1,5,311402,1
1,5,200705,1
1,5,200803,1
1,5,301804,2
1,5,311204,1
1,5,220301,2
1,5,120307,3
1,5,201403,1
1,5,220202,1
1,5,210301,2
1,5,120205,1
1,5,201109,1
1,5,201303,2
1,5,200602,2
1,5,210202,1
1,5,201404,4
1,5,200706,1
1,5,200608,1
1,5,201201,1
1,5,220302,1
1,5,220405,2
1,5,200703,1
1,5,230501,1
1,5,230901,2
1,5,332112,1
1,5,220406,1
1,5,200605,1
1,5,220599,2
1,5,230101,1
1,5,210502,1
1,5,200902,1
1,5,321710,1
1,5,220204,1
1,5,311803,1
1,5,301206,1
1,5,151805,3
1,5,220402,1
1,5,100202,1
1,5,201101,1
1,5,150802,1
1,5,120306,1
1,5,200904,1
1,5,301805,1
1,5,220111,2
1,5,151503,1
1,5,201301,1
1,5,200599,1
1,5,301602,1
1,5,150501,1
1,5,220103,1
1,5,220902,1
1,5,200201,1
1,5,312205,1
1,5,120501,1
1,5,220605,1
1,6,120303,5
1,6,312205,1
1,6,311903,1
1,6,201401,3
1,6,151701,1
1,6,210502,1
1,6,120102,29
1,6,120301,10
1,6,120106,8
1,6,311406,1
1,6,301303,1
1,6,340802,2
1,6,120313,5
1,6,221003,4
1,6,120307,5
1,6,200901,1
1,6,201303,2
1,6,220106,4
1,6,150599,1
1,6,201502,1
1,6,220108,2
1,6,230401,1
1,6,151803,1
1,6,200506,1
1,6,152101,10
1,6,301609,1
1,6,120109,1
1,6,220302,8
1,6,220801,2
1,6,130101,4
1,6,120104,26
1,6,120302,5
1,6,200501,4
1,6,220499,2
1,6,150504,3
1,6,220208,3
1,6,150802,1
1,6,200806,2
1,6,301802,3
1,6,120105,5
1,6,220199,1
1,6,301804,3
1,6,301301,4
1,6,120101,22
1,6,341206,1
1,6,120309,6
1,6,201104,2
1,6,220709,1
1,6,220708,3
1,6,301607,2
1,6,151299,2
1,6,201111,2
1,6,120501,4
1,6,220111,2
1,6,201103,1
1,6,200905,1
1,6,300206,2
1,6,221004,2
1,6,151809,3
1,6,220202,3
1,6,120204,3
1,6,110301,1
1,6,331903,2
1,6,201301,2
1,6,120103,4
1,6,200201,2
1,6,151503,2
1,6,200104,2
1,6,201302,3
1,6,301602,2
1,6,220298,1
1,6,100101,4
1,6,201003,1
1,6,130201,1
1,6,200103,1
1,6,220513,4
1,6,220102,1
1,6,311901,1
1,6,301302,1
1,6,201002,1
1,6,151801,2
1,6,200807,3
1,6,311499,3
1,6,220406,1
1,6,220904,2
1,6,231602,2
1,6,200102,1
1,6,151813,1
1,6,200603,1
1,6,200601,1
1,6,220605,1
1,6,300801,3
1,6,220305,1
1,6,120201,4
1,6,200101,1
1,6,220699,1
1,6,201405,1
1,6,322701,1
1,6,150101,2
1,6,150199,1
1,6,200607,3
1,6,300802,1
1,6,220104,2
1,6,201501,1
1,6,151099,1
1,6,301603,6
1,6,151805,1
1,6,311401,1
1,6,220802,1
1,6,220707,1
1,6,230901,1
1,6,200203,1
1,6,220205,2
1,6,120205,2
1,6,200105,2
1,6,220403,2
1,6,201299,1
1,6,120305,1
1,6,220508,2
1,6,210199,1
1,6,201404,1
1,6,200505,1
1,6,301608,3
1,6,210402,2
1,6,151901,1
1,6,301601,1
1,6,301304,2
1,6,332203,1
1,6,332205,1
1,6,301801,3
1,6,100404,1
1,6,200301,2
1,6,220902,1
1,6,230305,1
1,6,201307,1
1,6,220399,1
1,6,210202,2
1,6,100105,1
1,6,220799,1
1,6,300606,1
1,6,220307,1
1,6,220107,1
1,6,220710,1
1,6,220301,1
1,6,210601,1
1,6,220510,1
1,6,310204,1
1,6,221202,3
1,6,200709,1
1,6,201001,1
1,6,201402,1
1,6,200907,1
1,6,231099,1
1,6,151704,1
1,6,230703,1
1,6,200906,1
1,6,300701,1
1,6,331403,1
1,6,220201,1
1,6,100504,1
1,6,340901,1
1,6,220504,1
1,6,340301,1
1,6,201504,1
1,6,300704,1
1,6,200902,1
1,6,150505,1
1,6,120107,1
1,6,150304,1
1,6,210506,1
1,6,200199,1
1,6,220502,1
1,6,220608,1
1,6,200608,1
1,6,220599,1
1,7,201401,6
1,7,220205,7
1,7,200805,5
1,7,151701,5
1,7,200201,4
1,7,201111,5
1,7,120104,28
1,7,220506,2
1,7,100104,8
1,7,331904,2
1,7,301606,3
1,7,100101,19
1,7,220110,4
1,7,120102,26
1,7,220799,3
1,7,152101,22
1,7,201105,1
1,7,311602,1
1,7,220513,4
1,7,230301,1
1,7,200501,3
1,7,231104,2
1,7,300605,1
1,7,220502,3
1,7,332102,1
1,7,220299,3
1,7,220199,4
1,7,200603,5
1,7,130102,1
1,7,120101,18
1,7,301607,2
1,7,220514,1
1,7,130101,3
1,7,221202,2
1,7,311801,3
1,7,151801,3
1,7,220111,4
1,7,120301,7
1,7,130801,4
1,7,200902,3
1,7,200701,1
1,7,201005,2
1,7,120105,5
1,7,151813,2
1,7,340201,1
1,7,120309,5
1,7,120106,18
1,7,311304,1
1,7,201002,1
1,7,130201,5
1,7,220710,4
1,7,321502,1
1,7,220201,1
1,7,100402,4
1,7,220206,1
1,7,201404,5
1,7,120201,4
1,7,150504,4
1,7,151503,3
1,7,150501,3
1,7,200899,1
1,7,220801,2
1,7,230704,2
1,7,301603,7
1,7,120205,6
1,7,201299,1
1,7,150101,3
1,7,220302,5
1,7,311406,1
1,7,220208,3
1,7,301804,2
1,7,220301,5
1,7,220399,2
1,7,220601,1
1,7,331903,1
1,7,150503,1
1,7,151810,2
1,7,200202,1
1,7,201505,1
1,7,200601,2
1,7,200806,1
1,7,300601,3
1,7,120313,3
1,7,120307,8
1,7,151802,1
1,7,220202,1
1,7,220108,2
1,7,301702,1
1,7,120103,4
1,7,300604,2
1,7,301802,4
1,7,110107,2
1,7,120204,5
1,7,151299,1
1,7,220104,3
1,7,231103,1
1,7,120109,3
1,7,200709,2
1,7,201302,3
1,7,220106,2
1,7,150506,3
1,7,220203,1
1,7,201003,1
1,7,312502,1
1,7,230103,2
1,7,201107,1
1,7,301608,3
1,7,301101,1
1,7,200705,1
1,7,200809,2
1,7,220405,1
1,7,200602,2
1,7,220515,1
1,7,301303,3
1,7,151806,2
1,7,201104,1
1,7,200711,1
1,7,100502,3
1,7,301801,2
1,7,201108,1
1,7,151099,2
1,7,301301,4
1,7,151804,2
1,7,200599,1
1,7,200607,2
1,7,220501,1
1,7,150305,1
1,7,200708,1
1,7,200706,1
1,7,200604,1
1,7,220902,2
1,7,300602,2
1,7,200903,2
1,7,201102,2
1,7,100705,1
1,7,150104,1
1,7,220204,1
1,7,100103,1
1,7,100203,1
1,7,150103,1
1,7,231602,1
1,7,200907,1
1,7,220512,2
1,7,100404,2
1,7,220403,1
1,7,220703,1
1,7,150105,1
1,7,221003,1
1,7,341502,2
1,7,220606,1
1,7,300202,1
1,7,201502,1
1,7,120107,3
1,7,300206,1
1,7,301106,1
1,7,230404,1
1,7,201201,1
1,7,110201,1
1,7,200704,1
1,7,200801,1
1,7,220103,1
1,7,300204,1
1,7,201405,1
1,7,220107,1
1,7,201501,1
1,7,220102,1
1,7,300802,1
1,7,150505,2
1,7,220599,1
1,7,200299,1
1,7,201101,1
1,7,220305,1
1,7,151809,1
1,7,230705,1
1,7,120303,1
1,7,220899,1
1,8,120301,11
1,8,120105,3
1,8,120101,24
1,8,220202,6
1,8,120313,2
1,8,100202,1
1,8,220405,2
1,8,201306,2
1,8,151503,1
1,8,120303,4
1,8,201111,2
1,8,201201,1
1,8,130801,3
1,8,301004,3
1,8,201401,5
1,8,150503,4
1,8,220102,1
1,8,201107,1
1,8,120102,31
1,8,120309,6
1,8,120204,2
1,8,301301,2
1,8,130102,1
1,8,200602,3
1,8,200607,1
1,8,300801,1
1,8,220904,1
1,8,150506,1
1,8,201505,2
1,8,151813,3
1,8,152101,10
1,8,200803,2
1,8,231102,1
1,8,150504,4
1,8,311099,1
1,8,120307,5
1,8,220204,1
1,8,200902,4
1,8,220605,2
1,8,220607,1
1,8,220206,2
1,8,220208,5
1,8,120201,2
1,8,221004,1
1,8,200901,1
1,8,220599,3
1,8,221202,3
1,8,150502,1
1,8,220302,1
1,8,220702,1
1,8,120104,17
1,8,200301,1
1,8,110204,1
1,8,120109,1
1,8,200906,1
1,8,230705,1
1,8,150802,4
1,8,200805,1
1,8,220409,1
1,8,200501,4
1,8,220511,2
1,8,151801,2
1,8,100101,7
1,8,220304,1
1,8,311899,1
1,8,150404,1
1,8,120302,6
1,8,200604,2
1,8,210199,1
1,8,210502,1
1,8,200807,1
1,8,301804,3
1,8,130101,3
1,8,200704,3
1,8,150501,1
1,8,220108,1
1,8,220513,2
1,8,301801,1
1,8,200703,1
1,8,200809,1
1,8,220299,3
1,8,120501,2
1,8,220301,2
1,8,301101,1
1,8,230704,1
1,8,151701,3
1,8,120205,2
1,8,200105,3
1,8,120107,3
1,8,120106,8
1,8,220710,1
1,8,301608,1
1,8,220107,1
1,8,220406,1
1,8,150305,2
1,8,230101,1
1,8,200603,3
1,8,301609,1
1,8,220201,1
1,8,310502,1
1,8,220512,1
1,8,220106,4
1,8,210601,1
1,8,200201,1
1,8,230304,3
1,8,312199,1
1,8,220205,3
1,8,220906,1
1,8,140301,1
1,8,230703,1
1,8,200811,1
1,8,200903,1
1,8,220711,1
1,8,200709,1
1,8,221001,1
1,8,221201,1
1,8,150505,2
1,8,230404,1
1,8,220709,1
1,8,332099,1
1,8,220298,1
1,8,220104,1
1,8,300704,1
1,8,201102,1
1,8,150101,1
1,8,311401,1
1,8,100401,1
1,8,201302,1
1,8,200801,1
1,8,151803,1
1,8,201109,1
1,8,201502,1
1,8,301603,1
1,8,220399,2
1,8,301802,2
1,8,150103,1
1,8,301001,1
1,8,220111,1
1,8,200701,1
1,8,230399,1
1,8,300202,1
1,8,152104,1
1,8,220606,1
1,9,120104,21
1,9,120301,4
1,9,200903,2
1,9,120201,9
1,9,120204,4
1,9,151801,2
1,9,152101,6
1,9,220513,7
1,9,310501,1
1,9,201401,2
1,9,200602,2
1,9,120101,9
1,9,200803,3
1,9,120313,5
1,9,230404,1
1,9,201003,1
1,9,200802,1
1,9,130101,2
1,9,220399,4
1,9,220302,11
1,9,120501,1
1,9,120109,1
1,9,230304,3
1,9,200501,4
1,9,150502,3
1,9,201102,2
1,9,120103,2
1,9,150101,1
1,9,220502,3
1,9,200806,2
1,9,120102,20
1,9,150501,2
1,9,221003,4
1,9,221006,1
1,9,220703,2
1,9,201101,1
1,9,151802,1
1,9,220607,5
1,9,150503,4
1,9,230401,3
1,9,231702,1
1,9,201499,3
1,9,201501,1
1,9,230603,1
1,9,100402,1
1,9,120302,4
1,9,220102,3
1,9,220109,4
1,9,120309,3
1,9,221101,2
1,9,151804,4
1,9,220208,3
1,9,220103,1
1,9,220501,1
1,9,301006,1
1,9,220699,4
1,9,201303,1
1,9,150102,2
1,9,200201,4
1,9,230703,2
1,9,110107,1
1,9,120307,3
1,9,220801,1
1,9,231103,1
1,9,200902,3
1,9,200906,1
1,9,120106,6
1,9,301801,1
1,9,200601,2
1,9,301804,2
1,9,140301,2
1,9,220406,1
1,9,310601,1
1,9,201107,2
1,9,201302,2
1,9,120105,3
1,9,100101,4
1,9,200809,1
1,9,300602,1
1,9,301607,1
1,9,311604,1
1,9,130801,1
1,9,120303,6
1,9,230101,1
1,9,301603,4
1,9,220799,3
1,9,200709,2
1,9,210301,2
1,9,220201,1
1,9,220205,2
1,9,300604,1
1,9,220305,1
1,9,220409,1
1,9,331504,1
1,9,220707,1
1,9,311499,1
1,9,220299,2
1,9,230102,2
1,9,220107,1
1,9,230702,1
1,9,220605,2
1,9,201106,1
1,9,220904,1
1,9,311601,1
1,9,311801,1
1,9,210501,1
1,9,150505,1
1,9,220307,1
1,9,210503,1
1,9,220802,1
1,9,120107,1
1,9,210401,1
1,9,230202,1
1,9,200607,1
1,9,120306,1
1,9,230705,1
1,9,210504,1
1,9,220111,3
1,9,220901,1
1,9,301608,2
1,9,230301,1
1,9,130803,2
1,9,220902,1
1,9,220515,1
1,9,151099,1
1,9,220603,2
1,9,201301,1
1,9,200701,1
1,9,220104,1
1,9,150305,1
1,9,151701,1
1,9,231701,1
1,9,221202,2
1,9,151299,1
1,9,230704,1
1,9,220905,1
1,9,220601,2
1,9,332102,1
1,9,151806,1
1,9,220203,1
1,9,220405,1
1,9,231602,1
1,9,200704,1
1,9,130201,1
1,9,200204,1
1,9,201104,1
1,9,230103,1
1,9,220709,1
1,9,230302,1
1,9,230204,1
1,9,201108,1
1,9,201402,1
1,9,230604,1
1,9,301004,1
1,9,311008,1
1,9,151810,1
1,9,300206,1
1,9,200804,1
1,9,120205,1
1,9,151813,1
1,9,200105,1
1,10,152101,12
1,10,220999,1
1,10,200105,6
1,10,120301,10
1,10,210502,1
1,10,120102,27
1,10,220399,2
1,10,220305,6
1,10,301801,4
1,10,230304,3
1,10,220799,1
1,10,230701,1
1,10,201104,3
1,10,301608,3
1,10,201302,3
1,10,150504,2
1,10,220115,2
1,10,230705,1
1,10,220904,3
1,10,201107,3
1,10,120104,17
1,10,120306,2
1,10,301301,5
1,10,120201,2
1,10,220301,4
1,10,150105,1
1,10,210503,2
1,10,210699,1
1,10,200301,5
1,10,220302,14
1,10,200202,1
1,10,200101,3
1,10,151803,1
1,10,120307,7
1,10,120302,1
1,10,220108,1
1,10,200608,1
1,10,311499,2
1,10,220601,2
1,10,151813,2
1,10,220513,3
1,10,221003,2
1,10,120309,4
1,10,220202,3
1,10,120105,2
1,10,200906,1
1,10,220208,4
1,10,220106,4
1,10,130803,1
1,10,201102,2
1,10,301603,4
1,10,220403,2
1,10,220607,1
1,10,120103,3
1,10,300601,3
1,10,331504,1
1,10,120106,4
1,10,332102,1
1,10,200199,2
1,10,220111,7
1,10,220405,1
1,10,331602,1
1,10,300202,1
1,10,130201,2
1,10,201501,1
1,10,210501,1
1,10,220199,3
1,10,201401,4
1,10,200902,2
1,10,200607,3
1,10,300204,2
1,10,200102,1
1,10,220703,1
1,10,100101,3
1,10,201101,2
1,10,220605,2
1,10,151801,3
1,10,201405,1
1,10,301804,2
1,10,221099,2
1,10,230301,2
1,10,120303,6
1,10,331599,1
1,10,201111,3
1,10,301102,1
1,10,220905,1
1,10,220802,1
1,10,150501,1
1,10,332101,1
1,10,200806,1
1,10,220702,1
1,10,230502,1
1,10,220401,1
1,10,230203,1
1,10,100104,1
1,10,130801,2
1,10,220502,1
1,10,220511,1
1,10,301101,1
1,10,200704,1
1,10,120109,3
1,10,312205,1
1,10,151802,1
1,10,200602,2
1,10,120101,6
1,10,210402,1
1,10,300701,1
1,10,220205,1
1,10,220107,1
1,10,220902,2
1,10,230302,1
1,10,220709,1
1,10,151804,1
1,10,120107,1
1,10,220306,1
1,10,230602,1
1,10,151701,3
1,10,200103,1
1,10,151902,1
1,10,221202,1
1,10,300699,1
1,10,220801,6
1,10,220299,1
1,10,201103,1
1,10,100604,1
1,10,230599,1
1,10,130101,2
1,10,120204,2
1,10,210107,1
1,10,200803,2
1,10,200801,1
1,10,311406,1
1,10,220102,2
1,10,201499,1
1,10,201504,1
1,10,230101,1
1,10,301802,2
1,10,221101,2
1,10,210601,1
1,10,200903,2
1,10,332301,1
1,10,220304,1
1,10,201502,1
1,10,200701,1
1,10,150502,1
1,10,221004,1
1,10,220112,1
1,10,210105,1
1,10,201003,1
1,10,220906,1
1,10,230103,1
1,10,220113,1
1,10,110107,1
1,10,220103,2
1,10,150505,1
1,10,220110,1
1,10,220503,1
1,10,200809,1
1,10,311412,1
1,11,220302,5
1,11,150504,4
1,11,120201,6
1,11,152101,12
1,11,220205,3
1,11,151701,4
1,11,151806,3
1,11,120105,8
1,11,201302,3
1,11,220515,1
1,11,200807,1
1,11,220102,2
1,11,120107,3
1,11,220208,5
1,11,220699,3
1,11,321203,1
1,11,120204,3
1,11,150501,2
1,11,120102,27
